Symbol,Strike,CallPut,ExpiryDays,SpotPrice
SPY150220C00085000,85,Call,4,124.815
SPY150220C00127000,127,Call,4,82.815
SPY150220C00130000,130,Call,4,79.68
SPY150220C00132000,132,Call,4,77.72
SPY150220C00135000,135,Call,4,74.795
SPY150220C00143000,143,Call,4,66.81
SPY150220C00145000,145,Call,4,64.8
SPY150220C00150000,150,Call,4,59.815
SPY150220C00155000,155,Call,4,54.815
SPY150227C00155000,155,Call,11,54.8
SPY150220C00160000,160,Call,4,49.81
SPY150220C00165000,165,Call,4,43.87
SPY150220C00167000,167,Call,4,42.81
SPY150220C00169000,169,Call,4,40.815
SPY150220C00170000,170,Call,4,39.81
SPY150227C00170000,170,Call,11,39.7
SPY150220C00171000,171,Call,4,38.79
SPY150220C00172000,172,Call,4,37.815
SPY150220C00174000,174,Call,4,35.81
SPY150220C00175000,175,Call,4,34.5
SPY150220C00176000,176,Call,4,33.81
SPY150220C00177000,177,Call,4,32.81
SPY150220C00178000,178,Call,4,31.67
SPY150220C00179000,179,Call,4,30.815
SPY150220C00180000,180,Call,4,29.3
SPY150227C00180000,180,Call,11,29.25
SPY150220C00181000,181,Call,4,28.705
SPY150220C00182000,182,Call,4,27.535
SPY150220C00183000,183,Call,4,26.16
SPY150220C00184000,184,Call,4,25.84
SPY150220C00185000,185,Call,4,24.34
SPY150227C00185000,185,Call,11,24.71
SPY150220C00186000,186,Call,4,23.52
SPY150220C00187000,187,Call,4,22.07
SPY150220C00187500,187.5,Call,4,22.18
SPY150220C00188000,188,Call,4,21.28
SPY150220C00188500,188.5,Call,4,21.185
SPY150220C00189000,189,Call,4,20.52
SPY150220C00189500,189.5,Call,4,20.185
SPY150220C00190000,190,Call,4,19.85
SPY150227C00190000,190,Call,11,19.86
SPY150220C00190500,190.5,Call,4,18.93
SPY150220C00191000,191,Call,4,18.45
SPY150220C00191500,191.5,Call,4,18.835
SPY150220C00192000,192,Call,4,17.825
SPY150227C00192000,192,Call,11,17.86
SPY150220C00192500,192.5,Call,4,17.33
SPY150227C00192500,192.5,Call,11,17.38
SPY150220C00193000,193,Call,4,16.91
SPY150227C00193000,193,Call,11,16.87
SPY150220C00193500,193.5,Call,4,16.19
SPY150227C00193500,193.5,Call,11,16.875
SPY150220C00194000,194,Call,4,15.18
SPY150227C00194000,194,Call,11,15.92
SPY150220C00194500,194.5,Call,4,15.32
SPY150227C00194500,194.5,Call,11,15.425
SPY150220C00195000,195,Call,4,14.83
SPY150227C00195000,195,Call,11,14.935
SPY150220C00195500,195.5,Call,4,14.965
SPY150227C00195500,195.5,Call,11,14.42
SPY150220C00196000,196,Call,4,13.825
SPY150227C00196000,196,Call,11,13.91
SPY150220C00196500,196.5,Call,4,13.315
SPY150227C00196500,196.5,Call,11,13.42
SPY150220C00197000,197,Call,4,12.815
SPY150227C00197000,197,Call,11,12.77
SPY150220C00197500,197.5,Call,4,12.32
