,Symbol,Strike,CallPut,ExpiryDays,SpotPrice,StockPrice,RiskfreeRate,ImpliedVolatility
0,SPY150220C00085000,85.0,Call,4,124.815,209.78,0.02,2.93029670966
1,SPY150220C00127000,127.0,Call,4,82.815,209.78,0.02,1.61278255676
2,SPY150220C00130000,130.0,Call,4,79.68,209.78,0.02,-1.0
3,SPY150220C00132000,132.0,Call,4,77.72,209.78,0.02,-1.0
4,SPY150220C00135000,135.0,Call,4,74.795,209.78,0.02,-1.0
5,SPY150220C00143000,143.0,Call,4,66.81,209.78,0.02,1.17365523384
6,SPY150220C00145000,145.0,Call,4,64.8,209.78,0.02,-1.0
7,SPY150220C00150000,150.0,Call,4,59.815,209.78,0.02,1.06183622518
8,SPY150220C00155000,155.0,Call,4,54.815,209.78,0.02,0.952320742722
9,SPY150227C00155000,155.0,Call,11,54.8,209.78,0.02,-1.0
10,SPY150220C00160000,160.0,Call,4,49.81,209.78,0.02,0.797384691423
11,SPY150220C00165000,165.0,Call,4,43.87,209.78,0.02,-1.0
12,SPY150220C00167000,167.0,Call,4,42.81,209.78,0.02,0.65005373478
13,SPY150220C00169000,169.0,Call,4,40.815,209.78,0.02,0.660674759575
14,SPY150220C00170000,170.0,Call,4,39.81,209.78,0.02,0.587549687515
15,SPY150227C00170000,170.0,Call,11,39.7,209.78,0.02,-1.0
16,SPY150220C00171000,171.0,Call,4,38.79,209.78,0.02,-1.0
17,SPY150220C00172000,172.0,Call,4,37.815,209.78,0.02,0.600543125782
18,SPY150220C00174000,174.0,Call,4,35.81,209.78,0.02,0.504129062893
19,SPY150220C00175000,175.0,Call,4,34.5,209.78,0.02,-1.0
20,SPY150220C00176000,176.0,Call,4,33.81,209.78,0.02,0.462072291535
21,SPY150220C00177000,177.0,Call,4,32.81,209.78,0.02,0.440868440219
22,SPY150220C00178000,178.0,Call,4,31.67,209.78,0.02,-1.0
23,SPY150220C00179000,179.0,Call,4,30.815,209.78,0.02,0.462303467603
24,SPY150220C00180000,180.0,Call,4,29.3,209.78,0.02,-1.0
25,SPY150227C00180000,180.0,Call,11,29.25,209.78,0.02,-1.0
26,SPY150220C00181000,181.0,Call,4,28.705,209.78,0.02,-1.0
27,SPY150220C00182000,182.0,Call,4,27.535,209.78,0.02,-1.0
28,SPY150220C00183000,183.0,Call,4,26.16,209.78,0.02,-1.0
29,SPY150220C00184000,184.0,Call,4,25.84,209.78,0.02,0.509618711389
30,SPY150220C00185000,185.0,Call,4,24.34,209.78,0.02,-1.0
31,SPY150227C00185000,185.0,Call,11,24.71,209.78,0.02,-1.0
32,SPY150220C00186000,186.0,Call,4,23.52,209.78,0.02,-1.0
33,SPY150220C00187000,187.0,Call,4,22.07,209.78,0.02,-1.0
34,SPY150220C00187500,187.5,Call,4,22.18,209.78,0.02,-1.0
35,SPY150220C00188000,188.0,Call,4,21.28,209.78,0.02,-1.0
36,SPY150220C00188500,188.5,Call,4,21.185,209.78,0.02,-1.0
37,SPY150220C00189000,189.0,Call,4,20.52,209.78,0.02,-1.0
38,SPY150220C00189500,189.5,Call,4,20.185,209.78,0.02,-1.0
39,SPY150220C00190000,190.0,Call,4,19.85,209.78,0.02,0.409471413131
40,SPY150227C00190000,190.0,Call,11,19.86,209.78,0.02,-1.0
41,SPY150220C00190500,190.5,Call,4,18.93,209.78,0.02,-1.0
42,SPY150220C00191000,191.0,Call,4,18.45,209.78,0.02,-1.0
43,SPY150220C00191500,191.5,Call,4,18.835,209.78,0.02,0.63612617962
44,SPY150220C00192000,192.0,Call,4,17.825,209.78,0.02,0.319717734067
45,SPY150227C00192000,192.0,Call,11,17.86,209.78,0.02,-1.0
46,SPY150220C00192500,192.5,Call,4,17.33,209.78,0.02,0.322910677999
47,SPY150227C00192500,192.5,Call,11,17.38,209.78,0.02,-1.0
48,SPY150220C00193000,193.0,Call,4,16.91,209.78,0.02,0.415632485666
49,SPY150227C00193000,193.0,Call,11,16.87,209.78,0.02,-1.0
50,SPY150220C00193500,193.5,Call,4,16.19,209.78,0.02,-1.0
51,SPY150227C00193500,193.5,Call,11,16.875,209.78,0.02,0.345028629261
52,SPY150220C00194000,194.0,Call,4,15.18,209.78,0.02,-1.0
53,SPY150227C00194000,194.0,Call,11,15.92,209.78,0.02,0.196418829637
54,SPY150220C00194500,194.5,Call,4,15.32,209.78,0.02,0.258117729203
55,SPY150227C00194500,194.5,Call,11,15.425,209.78,0.02,0.194897554274
56,SPY150220C00195000,195.0,Call,4,14.83,209.78,0.02,0.275995476087
57,SPY150227C00195000,195.0,Call,11,14.935,209.78,0.02,0.20171674738
58,SPY150220C00195500,195.5,Call,4,14.965,209.78,0.02,0.556705105551
59,SPY150227C00195500,195.5,Call,11,14.42,209.78,0.02,0.178423153885
60,SPY150220C00196000,196.0,Call,4,13.825,209.78,0.02,0.245080534087
61,SPY150227C00196000,196.0,Call,11,13.91,209.78,0.02,0.162143802611
62,SPY150220C00196500,196.5,Call,4,13.315,209.78,0.02,0.201978401428
63,SPY150227C00196500,196.5,Call,11,13.42,209.78,0.02,0.173825965975
64,SPY150220C00197000,197.0,Call,4,12.815,209.78,0.02,0.192428739113
65,SPY150227C00197000,197.0,Call,11,12.77,209.78,0.02,-1.0
66,SPY150220C00197500,197.5,Call,4,12.32,209.78,0.02,0.202363312129
67,SPY150227C00197500,197.5,Call,11,12.47,209.78,0.02,0.185311579108
68,SPY150220C00198000,198.0,Call,4,11.825,209.78,0.02,0.208279052311
69,SPY150227C00198000,198.0,Call,11,11.995,209.78,0.02,0.18780999503
70,SPY150220C00198500,198.5,Call,4,10.4,209.78,0.02,-1.0
71,SPY150227C00198500,198.5,Call,11,11.495,209.78,0.02,0.180957465147
72,SPY150220C00199000,199.0,Call,4,10.85,209.78,0.02,0.239899525575
73,SPY150227C00199000,199.0,Call,11,11.01,209.78,0.02,0.17883333553
74,SPY150220C00199500,199.5,Call,4,10.345,209.78,0.02,0.224977285818
75,SPY150227C00199500,199.5,Call,11,10.535,209.78,0.02,0.178896333001
76,SPY150220C00200000,200.0,Call,4,9.9,209.78,0.02,0.254192253979
77,SPY150227C00200000,200.0,Call,11,10.03,209.78,0.02,0.170402833429
78,SPY150220C00200500,200.5,Call,4,9.36,209.78,0.02,0.216995709986
79,SPY150227C00200500,200.5,Call,11,9.55,209.78,0.02,0.17045962493
80,SPY150220C00201000,201.0,Call,4,8.71,209.78,0.02,-1.0
81,SPY150227C00201000,201.0,Call,11,9.095,209.78,0.02,0.171869108185
82,SPY150220C00201500,201.5,Call,4,8.355,209.78,0.02,0.192211294622
83,SPY150227C00201500,201.5,Call,11,8.615,209.78,0.02,0.167727136269
84,SPY150220C00202000,202.0,Call,4,7.85,209.78,0.02,0.177854438431
85,SPY150227C00202000,202.0,Call,11,8.15,209.78,0.02,0.165795026961
86,SPY150220C00202500,202.5,Call,4,7.44,209.78,0.02,0.218926014495
87,SPY150227C00202500,202.5,Call,11,7.68,209.78,0.02,0.162428056795
88,SPY150220C00203000,203.0,Call,4,6.98,209.78,0.02,0.219577540766
89,SPY150227C00203000,203.0,Call,11,7.15,209.78,0.02,0.149469301386
90,SPY150220C00203500,203.5,Call,4,6.5,209.78,0.02,0.212630925792
91,SPY150227C00203500,203.5,Call,11,6.67,209.78,0.02,0.14424592233
92,SPY150220C00204000,204.0,Call,4,5.98,209.78,0.02,0.193769135081
93,SPY150227C00204000,204.0,Call,11,6.31,209.78,0.02,0.154364723205
94,SPY150220C00204500,204.5,Call,4,5.53,209.78,0.02,0.194118123281
95,SPY150227C00204500,204.5,Call,11,5.855,209.78,0.02,0.15050869943
96,SPY150220C00205000,205.0,Call,4,5.04,209.78,0.02,0.182866037538
97,SPY150227C00205000,205.0,Call,11,5.42,209.78,0.02,0.149068812173
98,SPY150220C00205500,205.5,Call,4,4.59,209.78,0.02,0.17993154461
99,SPY150227C00205500,205.5,Call,11,5.03,209.78,0.02,0.149749733493
100,SPY150220C00206000,206.0,Call,4,4.07,209.78,0.02,0.161150717014
101,SPY150227C00206000,206.0,Call,11,4.56,209.78,0.02,0.142033417998
102,SPY150220C00206500,206.5,Call,4,3.64,209.78,0.02,0.16092452016
103,SPY150227C00206500,206.5,Call,11,4.1,209.78,0.02,0.134821565266
104,SPY150220C00207000,207.0,Call,4,3.23,209.78,0.02,0.159176016017
105,SPY150227C00207000,207.0,Call,11,3.75,209.78,0.02,0.136271153291
106,SPY150220C00207500,207.5,Call,4,2.84,209.78,0.02,0.158018146553
107,SPY150227C00207500,207.5,Call,11,3.33,209.78,0.02,0.130775703413
108,SPY150220C00208000,208.0,Call,4,2.44,209.78,0.02,0.152843579513
109,SPY150227C00208000,208.0,Call,11,3.03,209.78,0.02,0.133419055774
110,SPY150220C00208500,208.5,Call,4,2.07,209.78,0.02,0.148985738325
111,SPY150227C00208500,208.5,Call,11,2.64,209.78,0.02,0.128478575369
112,SPY150220C00209000,209.0,Call,4,1.67,209.78,0.02,0.139061342323
113,SPY150227C00209000,209.0,Call,11,2.29,209.78,0.02,0.124336844224
114,SPY150220C00209500,209.5,Call,4,1.38,209.78,0.02,0.138238718953
115,SPY150227C00209500,209.5,Call,11,1.97,209.78,0.02,0.121225910069
116,SPY150220C00210000,210.0,Call,4,1.1,209.78,0.02,0.135198760695
117,SPY150227C00210000,210.0,Call,11,1.7,209.78,0.02,0.12017504633
118,SPY150220C00210500,210.5,Call,4,0.815,209.78,0.02,0.128126386613
119,SPY150227C00210500,210.5,Call,11,1.43,209.78,0.02,0.117593350939
120,SPY150220C00211000,211.0,Call,4,0.6,209.78,0.02,0.123838570712
121,SPY150227C00211000,211.0,Call,11,1.17,209.78,0.02,0.11461154389
122,SPY150227C00211500,211.5,Call,11,0.94,209.78,0.02,0.110599422099
123,SPY150220C00212000,212.0,Call,4,0.31,209.78,0.02,0.121905223665
124,SPY150227C00212000,212.0,Call,11,0.76,209.78,0.02,0.109444026942
125,SPY150220C00212500,212.5,Call,4,0.21,209.78,0.02,-1.0
126,SPY150227C00212500,212.5,Call,11,0.6,209.78,0.02,0.10722202008
127,SPY150220C00213000,213.0,Call,4,0.145,209.78,0.02,-1.0
128,SPY150227C00213000,213.0,Call,11,0.445,209.78,0.02,0.103497807988
129,SPY150227C00213500,213.5,Call,11,0.33,209.78,0.02,-1.0
130,SPY150220C00214000,214.0,Call,4,0.06,209.78,0.02,-1.0
131,SPY150227C00214000,214.0,Call,11,0.27,209.78,0.02,-1.0
132,SPY150227C00214500,214.5,Call,11,0.21,209.78,0.02,-1.0
133,SPY150220C00215000,215.0,Call,4,0.04,209.78,0.02,-1.0
134,SPY150227C00215000,215.0,Call,11,0.14,209.78,0.02,-1.0
135,SPY150220C00216000,216.0,Call,4,0.03,209.78,0.02,-1.0
136,SPY150227C00216000,216.0,Call,11,0.09,209.78,0.02,-1.0
137,SPY150227C00216500,216.5,Call,11,0.07,209.78,0.02,-1.0
138,SPY150220C00217000,217.0,Call,4,0.02,209.78,0.02,-1.0
139,SPY150227C00217000,217.0,Call,11,0.07,209.78,0.02,-1.0
140,SPY150220C00217500,217.5,Call,4,0.02,209.78,0.02,-1.0
141,SPY150227C00217500,217.5,Call,11,0.05,209.78,0.02,-1.0
142,SPY150220C00218000,218.0,Call,4,0.02,209.78,0.02,-1.0
143,SPY150227C00218000,218.0,Call,11,0.05,209.78,0.02,-1.0
144,SPY150227C00218500,218.5,Call,11,0.03,209.78,0.02,-1.0
145,SPY150220C00219000,219.0,Call,4,0.01,209.78,0.02,-1.0
146,SPY150227C00219000,219.0,Call,11,0.03,209.78,0.02,-1.0
147,SPY150220C00220000,220.0,Call,4,0.01,209.78,0.02,-1.0
148,SPY150227C00220000,220.0,Call,11,0.04,209.78,0.02,-1.0
149,SPY150220C00221000,221.0,Call,4,0.01,209.78,0.02,-1.0
150,SPY150220C00222000,222.0,Call,4,0.01,209.78,0.02,-1.0
151,SPY150220C00222500,222.5,Call,4,0.01,209.78,0.02,-1.0
152,SPY150227C00222500,222.5,Call,11,0.02,209.78,0.02,-1.0
153,SPY150220C00223000,223.0,Call,4,0.01,209.78,0.02,-1.0
154,SPY150220C00224000,224.0,Call,4,0.01,209.78,0.02,-1.0
155,SPY150220C00225000,225.0,Call,4,0.01,209.78,0.02,-1.0
156,SPY150227C00225000,225.0,Call,11,0.01,209.78,0.02,-1.0
157,SPY150220C00227500,227.5,Call,4,0.01,209.78,0.02,-1.0
158,SPY150227C00227500,227.5,Call,11,0.01,209.78,0.02,-1.0
159,SPY150220C00230000,230.0,Call,4,0.01,209.78,0.02,-1.0
160,SPY150220C00235000,235.0,Call,4,0.01,209.78,0.02,-1.0
161,SPY150220C00240000,240.0,Call,4,0.01,209.78,0.02,-1.0
162,SPY150220P00080000,80.0,Put,4,0.01,209.78,0.02,-1.0
163,SPY150220P00085000,85.0,Put,4,0.01,209.78,0.02,-1.0
164,SPY150220P00090000,90.0,Put,4,0.01,209.78,0.02,-1.0
165,SPY150220P00095000,95.0,Put,4,0.01,209.78,0.02,-1.0
166,SPY150220P00100000,100.0,Put,4,0.01,209.78,0.02,-1.0
167,SPY150220P00105000,105.0,Put,4,0.01,209.78,0.02,-1.0
168,SPY150220P00110000,110.0,Put,4,0.015,209.78,0.02,-1.0
169,SPY150220P00115000,115.0,Put,4,0.01,209.78,0.02,-1.0
170,SPY150220P00120000,120.0,Put,4,0.01,209.78,0.02,-1.0
171,SPY150220P00125000,125.0,Put,4,0.01,209.78,0.02,-1.0
172,SPY150220P00126000,126.0,Put,4,0.01,209.78,0.02,-1.0
173,SPY150220P00127000,127.0,Put,4,0.01,209.78,0.02,-1.0
174,SPY150220P00128000,128.0,Put,4,0.02,209.78,0.02,-1.0
175,SPY150220P00129000,129.0,Put,4,0.01,209.78,0.02,-1.0
176,SPY150220P00130000,130.0,Put,4,0.015,209.78,0.02,-1.0
177,SPY150220P00131000,131.0,Put,4,0.01,209.78,0.02,-1.0
178,SPY150220P00132000,132.0,Put,4,0.01,209.78,0.02,-1.0
179,SPY150220P00133000,133.0,Put,4,0.01,209.78,0.02,-1.0
180,SPY150220P00134000,134.0,Put,4,0.01,209.78,0.02,-1.0
181,SPY150220P00135000,135.0,Put,4,0.015,209.78,0.02,-1.0
182,SPY150220P00136000,136.0,Put,4,0.015,209.78,0.02,-1.0
183,SPY150220P00137000,137.0,Put,4,0.01,209.78,0.02,-1.0
184,SPY150220P00138000,138.0,Put,4,0.01,209.78,0.02,-1.0
185,SPY150220P00139000,139.0,Put,4,0.01,209.78,0.02,-1.0
186,SPY150220P00140000,140.0,Put,4,0.01,209.78,0.02,-1.0
187,SPY150220P00141000,141.0,Put,4,0.015,209.78,0.02,-1.0
188,SPY150220P00142000,142.0,Put,4,0.01,209.78,0.02,-1.0
189,SPY150220P00143000,143.0,Put,4,0.015,209.78,0.02,-1.0
190,SPY150220P00144000,144.0,Put,4,0.01,209.78,0.02,-1.0
191,SPY150220P00145000,145.0,Put,4,0.01,209.78,0.02,-1.0
192,SPY150220P00146000,146.0,Put,4,0.01,209.78,0.02,-1.0
193,SPY150220P00147000,147.0,Put,4,0.03,209.78,0.02,-1.0
194,SPY150220P00148000,148.0,Put,4,0.01,209.78,0.02,-1.0
195,SPY150220P00149000,149.0,Put,4,0.01,209.78,0.02,-1.0
196,SPY150220P00150000,150.0,Put,4,0.01,209.78,0.02,-1.0
197,SPY150220P00151000,151.0,Put,4,0.01,209.78,0.02,-1.0
198,SPY150220P00152000,152.0,Put,4,0.01,209.78,0.02,-1.0
199,SPY150220P00153000,153.0,Put,4,0.035,209.78,0.02,-1.0
200,SPY150220P00154000,154.0,Put,4,0.035,209.78,0.02,-1.0
201,SPY150220P00155000,155.0,Put,4,0.01,209.78,0.02,-1.0
202,SPY150227P00155000,155.0,Put,11,0.01,209.78,0.02,-1.0
203,SPY150220P00156000,156.0,Put,4,0.035,209.78,0.02,-1.0
204,SPY150220P00157000,157.0,Put,4,0.01,209.78,0.02,-1.0
205,SPY150220P00158000,158.0,Put,4,0.01,209.78,0.02,-1.0
206,SPY150220P00159000,159.0,Put,4,0.015,209.78,0.02,-1.0
207,SPY150220P00160000,160.0,Put,4,0.01,209.78,0.02,-1.0
208,SPY150227P00160000,160.0,Put,11,0.01,209.78,0.02,-1.0
209,SPY150220P00161000,161.0,Put,4,0.015,209.78,0.02,-1.0
210,SPY150220P00162000,162.0,Put,4,0.01,209.78,0.02,-1.0
211,SPY150220P00163000,163.0,Put,4,0.01,209.78,0.02,-1.0
212,SPY150220P00164000,164.0,Put,4,0.01,209.78,0.02,-1.0
213,SPY150220P00165000,165.0,Put,4,0.01,209.78,0.02,-1.0
214,SPY150227P00165000,165.0,Put,11,0.01,209.78,0.02,-1.0
215,SPY150220P00166000,166.0,Put,4,0.01,209.78,0.02,-1.0
216,SPY150220P00167000,167.0,Put,4,0.01,209.78,0.02,-1.0
217,SPY150220P00168000,168.0,Put,4,0.01,209.78,0.02,-1.0
218,SPY150220P00169000,169.0,Put,4,0.01,209.78,0.02,-1.0
219,SPY150220P00170000,170.0,Put,4,0.01,209.78,0.02,-1.0
220,SPY150227P00170000,170.0,Put,11,0.02,209.78,0.02,-1.0
221,SPY150220P00171000,171.0,Put,4,0.01,209.78,0.02,-1.0
222,SPY150220P00172000,172.0,Put,4,0.01,209.78,0.02,-1.0
223,SPY150220P00173000,173.0,Put,4,0.01,209.78,0.02,-1.0
224,SPY150220P00174000,174.0,Put,4,0.01,209.78,0.02,-1.0
225,SPY150220P00175000,175.0,Put,4,0.01,209.78,0.02,-1.0
226,SPY150227P00175000,175.0,Put,11,0.03,209.78,0.02,-1.0
227,SPY150220P00176000,176.0,Put,4,0.01,209.78,0.02,-1.0
228,SPY150220P00177000,177.0,Put,4,0.01,209.78,0.02,-1.0
